date,location,Zip Code,state,year,fatalities,injured,totalvictims,percfatal,venue,priorsignsofpossiblementalillnes,weaponsobtainedlegally,race,gender,age,legalgun,handguns,revolvers,shotguns,assaultguns,religious,school,workplace,poss_mental,minority,ar_ban,bradybill,depmed,offdepmed,med,reasonmed,onoroff,timeonmed,arrested,suicide,police,highcapacityclip,deathpenalty,statepermittopurchase,firearmregistration,assaultweaponlaw,ownerlicenserequired,concealedcarryweaponccwpermitsis,opencarry,nfaweaponsrestricted,peaceablejourneylaws,castledoctrinestandyourground,gunswithhighcapacitymagizines,assaultweaponsbydefinitionofnewl,Type
20070830,"Bronx, NY",,NY,2007,1,2,3,0.333333333,Work,Yes,yes,other,Male,44,1,1,0,0,0,0,0,1,1,1,1,1,0,0,None,None,None,None,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,Shooter
20070416,"Blacksburg, Virginia",,VA,2007,33,23,56,0.58929998,School,Yes,Yes,Asian,Male,23,1,2,0,0,0,0,1,0,1,1,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,1,0,1,0,1,1,1,2,0,Mass
20070305,"Signal Hill, CA",,CA,2007,0,3,3,0,Work,No,Yes,Latino,Male,68,1,1,0,0,0,0,0,1,0,1,1,1,0,0,None,None,None,None,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Shooter
20070212,"Salt Lake City, Utah",,UT,2007,6,4,10,0.60000002,Other,No,No,white,Male,18,0,0,1,1,0,0,0,0,0,0,0,1,1,1,Prozac,Depression,Off,2 weeks,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,Mass
20070212,"Philadelphia, PA",,PA,2007,3,1,4,0.75,Work,No,Yes,Black,Male,44,1,1,0,0,1,0,0,1,0,1,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,1,1,0,1,1,2,1,Spree
20061002,"Lancaster County, Pennsylvania",,PA,2006,6,5,11,0.54549998,School,No,Yes,white,Male,32,1,1,0,1,1,0,1,0,0,0,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,Mass
20060824,"Essex, VT",,VT,2006,2,2,4,0.5,School,No,No,white,Male,26,0,1,0,0,0,0,1,0,0,0,0,1,0,0,None,None,None,None,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,Spree
20060728,"Seattle, WA",,WA,2006,1,5,6,0.166666667,Religious,No,Yes,Other,Male,30,1,2,0,0,0,1,0,0,0,1,0,1,0,0,None,None,None,None,1,0,0,1,1,0,0,0,0,1,1,1,0,1,2,0,Shooter
20060625,"Denver, CO",,CO,2006,1,5,6,0.166666667,Work,No,Yes,white,Male,22,1,1,0,0,0,0,0,1,0,0,0,1,0,0,None,None,None,None,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,Shooter
20060325,"Capitol Hill, Washington",,WA,2006,7,2,9,0.77780002,Other,No,Yes,white,Male,28,1,2,0,1,1,0,0,0,0,0,0,1,1,1,Welbutrin,None,None,None,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,Mass
20060314,"Reno, NV",,NV,2006,0,6,0,0,School,No,No,White,Male,14,0,1,0,0,0,0,1,0,0,0,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,Shooter
20060130,"Goleta, California",,CA,2006,8,0,8,1,Work,Yes,Yes,white,Female,44,1,1,0,0,0,0,0,1,1,0,1,1,0,0,None,None,None,None,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Spree
20051120,"Tacoma, WA",,WA,2005,0,6,6,0,Other,No,Yes,Latino,Male,20,1,1,0,0,1,0,0,0,0,1,0,1,0,0,None,None,None,None,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,Shooter
20050808,"Colton, CA",,CA,2005,3,3,6,0.5,Other,No,Yes,Black,Male,35,1,1,0,0,0,0,0,0,0,0,1,1,0,0,None,None,None,None,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,Spree
20050321,"Red Lake, Minnesota",,MN,2005,10,5,15,0.66670001,School,Yes,No,Native American,Male,16,0,2,0,1,0,0,1,0,1,1,0,1,1,1,Prozac,Depression,Off,Month,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,Spree
20050312,"Brookfield, Wisconsin",,WI,2005,7,4,11,0.63639998,Religious,Yes,Yes,white,Male,44,1,1,0,0,0,1,0,0,1,0,0,1,0,0,None,None,None,None,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Mass
20050126,"Toledo, OH",,OH,2005,1,2,3,0.3333,Work,No,Yes,white,Male,54,1,0,0,1,0,0,0,1,0,0,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,Shooter
20041208,"Columbus, Ohio",,OH,2004,5,7,12,0.41670001,Other,Yes,Yes,white,Male,25,1,1,0,0,0,0,0,0,1,0,0,1,0,0,None,None,None,None,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,Mass
20041121,"Meteor, WI",,WI,2004,6,2,8,0.75,Other,No,Yes,Asian,Male,36,1,0,0,0,1,0,0,0,0,1,0,1,0,0,None,None,None,None,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,Mass
